IP Address,IP Type,Last VA Date,Last PT Date,No Of Open Ports,List Of Open Ports ,Total Vulnerability Count,Critical,High,Medium,Low ,Managed By (As Per VA Data),Owner (As Per VA Data),Unit (As Per VA Data),Unit (As Per Perspicacity),Managed By (As Per Perspicacity),Asset Reported in Perspicacity By,Asset Registered In Perspicacity On
213.190.158.137,Public IP,,Sat Sep 16 2023 15:04:13 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Cyber Security (IOU),Internal IT Team,360041,17:04.5
172.29.90.63,Private IP,,Wed Sep 13 2023 18:25:22 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,"Internet of Things (IOU),Shared Services Group Internal IT - Parent",Internal IT Team,830305,17:04.6
172.29.90.64,Private IP,,Wed Sep 13 2023 18:34:18 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,"Internet of Things (IOU),Shared Services Group Internal IT - Parent",Internal IT Team,830305,17:04.6
14.141.31.219,Public IP,,Sat Sep 16 2023 12:55:33 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.6
14.141.66.181,Public IP,,Sat Sep 16 2023 13:10:29 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.6
14.141.66.182,Public IP,,Sat Sep 16 2023 13:16:17 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.6
219.65.38.247,Public IP,Tue Jun 25 2024 00:00:00 GMT+0530 (India Standard Time),Fri Mar 08 2024 16:15:00 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,"Americas1-Parent,Shared Services Group Internal IT - Parent",Internal IT Team,"3,93,61,37,32,667",04:28.6
219.65.38.250,Public IP,Wed Dec 13 2023 00:00:00 GMT+0530 (India Standard Time),Sat Sep 16 2023 13:24:06 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.6
14.141.31.221,Public IP,,Sat Sep 16 2023 13:46:15 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.6
121.242.45.16,Public IP,,Sat Sep 16 2023 15:25:11 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.7
17.76.66.52,Public IP,,Sat Sep 16 2023 17:34:00 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.7
17.76.66.53,Public IP,,Sat Sep 16 2023 17:45:10 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.7
192.168.1.2,Private IP,,Wed Sep 13 2023 22:49:21 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.7
121.242.45.55,Public IP,,Sat Sep 16 2023 16:13:16 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.7
10.1.2.2,Private IP,,Thu Sep 14 2023 00:13:13 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.7
10.1.2.3,Private IP,,Thu Sep 14 2023 00:28:12 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:04.7
14.142.34.45,Public IP,,Sat Sep 16 2023 16:28:31 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:05.3
14.141.58.212,Public IP,,Sat Sep 16 2023 16:34:18 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:05.3
14.141.58.219,Public IP,,Sat Sep 16 2023 16:43:13 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,732667,17:05.3
10.170.66.68,Private IP,,Thu Sep 14 2023 01:55:16 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,TCS Interactive,Internal IT Team,156204,16:57.0
10.170.66.72,Private IP,,Thu Sep 14 2023 02:27:44 GMT+0530 (India Standard Time),5,"1,11,22,77,28,08,042",0,0,0,0,0,,,None,TCS Interactive,Internal IT Team,156204,16:57.0
10.170.66.67,Private IP,,Thu Sep 14 2023 02:10:13 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,TCS Interactive,Internal IT Team,156204,16:57.0
10.170.66.69,Private IP,,Thu Sep 14 2023 03:10:22 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,TCS Interactive,Internal IT Team,156204,16:57.0
125.20.35.5,Public IP,,Wed May 15 2024 22:07:11 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,CMI NA Parent,Internal IT Team,"19,20,79,44,81,139",55:39.2
125.20.35.6,Public IP,,Sat Sep 16 2023 19:31:16 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,CMI NA Parent,Internal IT Team,1920794,16:57.3
59.160.172.145,Public IP,,Thu May 02 2024 23:35:39 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,IS-Technology BU-Parent,Internal IT Team,1609466,17:00.8
125.16.1.130,Public IP,,Sat Sep 16 2023 19:52:12 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Internet of Things (IOU),Internal IT Team,1609466,16:57.5
125.17.106.18,Public IP,Wed Feb 21 2024 00:00:00 GMT+0530 (India Standard Time),Sat Feb 10 2024 12:00:07 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,"IS-BFSI-US West-Parent,Shared Services Group Internal IT - Parent",Internal IT Team,"12,53,68,62,24,529",17:08.3
125.17.106.19,Public IP,,Sat Sep 16 2023 21:09:22 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,"IS-BFSI-US West-Parent,Shared Services Group Internal IT - Parent",Internal IT Team,"12,53,68,62,24,529",17:08.3
203.199.181.218,Public IP,Tue Apr 09 2024 00:00:00 GMT+0530 (India Standard Time),Sat Sep 16 2023 21:30:26 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,IS-Technology BU-Parent,Internal IT Team,1609466,17:00.8
42.104.119.113,Public IP,Tue Jul 16 2024 00:00:00 GMT+0530 (India Standard Time),Sat Sep 16 2023 21:36:07 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,IS-Technology BU-Parent,Internal IT Team,1609466,17:00.8
172.18.70.170,Private IP,,Thu Sep 14 2023 07:01:34 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Others,Internal IT Team,107271,16:51.2
18.135.107.93,Public IP,,Sun Jun 11 2023 20:57:02 GMT+0530 (India Standard Time),2,"443,80",0,0,0,0,0,,,None,None,,,
18.133.105.232,Public IP,,Sun Jun 11 2023 20:53:48 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
18.116.122.143,Public IP,,Sun Jun 11 2023 20:43:58 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
179.190.40.228,Public IP,,Sun Jun 11 2023 20:35:04 GMT+0530 (India Standard Time),1,179,0,0,0,0,0,,,None,None,,,
172.18.96.171,Private IP,,Wed Sep 20 2023 13:39:48 GMT+0530 (India Standard Time),2,"161,22",0,0,0,0,0,,,None,Others,Internal IT Team,115544,16:51.2
10.250.187.7,Private IP,,Fri Jul 14 2023 20:14:26 GMT+0530 (India Standard Time),1,161,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,850086,47:30.6
103.219.238.204,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Aug 16 2023 13:09:24 GMT+0530 (India Standard Time),1,443,4,0,1,2,1,TCS Owned Customer managed,,NA,None,,,
103.219.238.202,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Aug 16 2023 13:07:58 GMT+0530 (India Standard Time),1,443,3,0,0,1,2,TCS Owned Customer managed,,NA,None,,,
38.134.97.233,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Oct 11 2023 03:32:38 GMT+0530 (India Standard Time),2,"4,43,500",4,0,0,1,3,TCS Owned Internalit managed,riyashkrishnan.s@tcs.com,Shared Services Group Internal IT - Parent,None,,,
194.16.64.206,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Sat Sep 30 2023 06:07:55 GMT+0530 (India Standard Time),1,443,2,0,0,1,1,TCS Owned Internalit managed,,NA,None,,,
18.216.100.64,Public IP,,Tue Jun 13 2023 13:18:54 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
18.193.144.244,Public IP,,Tue Jun 13 2023 13:13:35 GMT+0530 (India Standard Time),2,"44,35,405",0,0,0,0,0,,,None,None,,,
18.193.136.178,Public IP,,Tue Jun 13 2023 13:11:54 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
18.169.7.135,Public IP,,Tue Jun 13 2023 13:05:36 GMT+0530 (India Standard Time),2,"443,80",0,0,0,0,0,,,None,None,,,
18.159.32.185,Public IP,,Tue Jun 13 2023 13:05:04 GMT+0530 (India Standard Time),2,"443,80",0,0,0,0,0,,,None,None,,,
18.233.252.26,Public IP,,Tue Jun 13 2023 13:38:15 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
18.233.129.54,Public IP,,Tue Jun 13 2023 13:35:22 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
192.187.111.219,Public IP,,Tue Jun 13 2023 13:41:42 GMT+0530 (India Standard Time),5,"10,22,44,35,38,08,080",0,0,0,0,0,,,None,None,,,
192.235.113.68,Public IP,,Tue Jun 13 2023 14:43:53 GMT+0530 (India Standard Time),2,"443,80",0,0,0,0,0,,,None,None,,,
192.64.119.169,Public IP,,Tue Jun 13 2023 15:17:37 GMT+0530 (India Standard Time),1,80,0,0,0,0,0,,,None,None,,,
192.64.119.162,Public IP,,Tue Jun 13 2023 15:17:36 GMT+0530 (India Standard Time),1,80,0,0,0,0,0,,,None,None,,,
195.219.62.209,Public IP,,Tue Jun 13 2023 18:28:10 GMT+0530 (India Standard Time),1,222,0,0,0,0,0,,,None,None,,,
195.59.170.197,Public IP,,Tue Jun 13 2023 19:47:15 GMT+0530 (India Standard Time),2,"2,00,05,060",0,0,0,0,0,,,None,None,,,
195.59.170.201,Public IP,,Tue Jun 13 2023 20:05:17 GMT+0530 (India Standard Time),2,"2,00,05,060",0,0,0,0,0,,,None,None,,,
195.59.170.198,Public IP,,Tue Jun 13 2023 19:56:17 GMT+0530 (India Standard Time),1,5060,0,0,0,0,0,,,None,None,,,
195.59.170.204,Public IP,,Tue Jun 13 2023 20:14:13 GMT+0530 (India Standard Time),1,5060,0,0,0,0,0,,,None,None,,,
195.59.170.207,Public IP,,Tue Jun 13 2023 20:38:15 GMT+0530 (India Standard Time),2,"2,00,05,060",0,0,0,0,0,,,None,None,,,
195.59.170.208,Public IP,,Tue Jun 13 2023 21:11:16 GMT+0530 (India Standard Time),2,"2,00,05,060",0,0,0,0,0,,,None,None,,,
195.59.170.222,Public IP,,Tue Jun 13 2023 21:32:30 GMT+0530 (India Standard Time),2,"2,00,05,060",0,0,0,0,0,,,None,None,,,
198.54.117.211,Public IP,,Tue Jun 13 2023 22:05:15 GMT+0530 (India Standard Time),1,80,0,0,0,0,0,,,None,None,,,
195.59.170.239,Public IP,,Tue Jun 13 2023 21:53:38 GMT+0530 (India Standard Time),2,"2,00,05,060",0,0,0,0,0,,,None,None,,,
198.54.117.212,Public IP,,Tue Jun 13 2023 22:14:17 GMT+0530 (India Standard Time),1,80,0,0,0,0,0,,,None,None,,,
198.54.117.210,Public IP,,Tue Jun 13 2023 21:56:09 GMT+0530 (India Standard Time),1,80,0,0,0,0,0,,,None,None,,,
201.151.132.98,Public IP,,Sat Jun 08 2024 06:44:52 GMT+0530 (India Standard Time),1,22,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Customer,1222814,05:15.6
201.151.132.98,Public IP,,Sat Jun 08 2024 06:44:52 GMT+0530 (India Standard Time),1,22,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Project Team,1222814,07:33.9
2.22.205.24,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Jun 14 2023 00:01:22 GMT+0530 (India Standard Time),2,"443,80",0,0,0,0,0,,,None,None,,,
2.19.110.48,Public IP,,Tue Jun 13 2023 23:59:52 GMT+0530 (India Standard Time),2,"443,80",0,0,0,0,0,,,None,None,,,
198.54.117.215,Public IP,,Tue Jun 13 2023 22:23:32 GMT+0530 (India Standard Time),1,80,0,0,0,0,0,,,None,None,,,
20.108.236.76,Public IP,,Wed Jun 14 2023 00:22:38 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.108.232.200,Public IP,,Wed Jun 14 2023 00:13:37 GMT+0530 (India Standard Time),2,"44,38,443",0,0,0,0,0,,,None,None,,,
198.54.117.216,Public IP,,Tue Jun 13 2023 22:47:16 GMT+0530 (India Standard Time),1,80,0,0,0,0,0,,,None,None,,,
20.121.76.120,Public IP,,Wed Jun 14 2023 01:33:07 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.193.151.182,Public IP,,Wed Jun 14 2023 01:53:23 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.198.94.130,Public IP,,Wed Jun 14 2023 02:20:47 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.198.3.125,Public IP,,Wed Jun 14 2023 02:20:02 GMT+0530 (India Standard Time),2,"443,80",0,0,0,0,0,,,None,None,,,
20.195.99.57,Public IP,,Wed Jun 14 2023 02:11:21 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.200.75.11,Public IP,,Wed Jun 14 2023 02:32:37 GMT+0530 (India Standard Time),2,"44,38,443",0,0,0,0,0,,,None,None,,,
20.200.79.9,Public IP,,Wed Jun 14 2023 03:05:39 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.204.153.133,Public IP,Wed Jul 24 2024 00:00:00 GMT+0530 (India Standard Time),Sun Sep 17 2023 14:36:20 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,TCS Owned Project managed,anand4.j@tcs.com,NA,Shared Services Group Internal IT - Parent,Internal IT Team,850086,41:40.6
20.204.141.35,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Sat Jul 06 2024 04:04:19 GMT+0530 (India Standard Time),0,0,3,0,0,3,0,TCS Owned Internalit managed,,NA,Shared Services Group Internal IT - Parent,Internal IT Team,"21,84,03,18,50,086",28:30.4
20.203.10.184,Public IP,,Wed Jun 14 2023 03:44:14 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.200.83.217,Public IP,,Wed Jun 14 2023 03:44:45 GMT+0530 (India Standard Time),2,"44,38,443",0,0,0,0,0,,,None,None,,,
20.219.179.89,Public IP,,Wed Jun 14 2023 04:17:18 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.250.77.143,Public IP,,Wed Jun 14 2023 04:41:01 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.223.18.211,Public IP,,Wed Jun 14 2023 04:28:42 GMT+0530 (India Standard Time),2,"44,38,443",0,0,0,0,0,,,None,None,,,
20.252.10.164,Public IP,,Wed Jun 14 2023 05:20:31 GMT+0530 (India Standard Time),1,8443,0,0,0,0,0,,,None,None,,,
20.41.227.133,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Sat Jun 01 2024 05:09:10 GMT+0530 (India Standard Time),1,443,2,0,2,0,0,TCS Owned Internalit managed,raghuram.m@tcs.com,NA,Ultimatix1-Parent,Internal IT Team,2363843,12:03.9
20.252.10.170,Public IP,,Wed Jun 14 2023 05:59:44 GMT+0530 (India Standard Time),2,"44,38,443",0,0,0,0,0,,,None,None,,,
20.44.198.58,Public IP,,Wed Jun 14 2023 06:06:32 GMT+0530 (India Standard Time),2,"44,38,443",0,0,0,0,0,,,None,None,,,
20.252.21.177,Public IP,,Wed Jun 14 2023 06:03:09 GMT+0530 (India Standard Time),2,"44,38,443",0,0,0,0,0,,,None,None,,,
200.27.12.34,Public IP,,Wed Jun 14 2023 06:44:50 GMT+0530 (India Standard Time),1,53,0,0,0,0,0,,,None,None,,,
20.79.69.16,Public IP,,Wed Jun 14 2023 06:37:44 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.52.202.47,Public IP,,Wed Jun 14 2023 06:25:38 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
20.46.164.77,Public IP,,Wed Jun 14 2023 06:25:01 GMT+0530 (India Standard Time),2,"443,80",0,0,0,0,0,,,None,None,,,
20.85.144.100,Public IP,,Wed Jun 14 2023 06:50:01 GMT+0530 (India Standard Time),1,80,0,0,0,0,0,,,None,None,,,
20.88.224.58,Public IP,,Wed Jun 14 2023 07:30:22 GMT+0530 (India Standard Time),1,443,0,0,0,0,0,,,None,None,,,
203.101.92.51,Public IP,,Wed Jun 14 2023 08:04:15 GMT+0530 (India Standard Time),2,"2,00,05,060",0,0,0,0,0,,,None,None,,,
203.101.92.52,Public IP,,Wed Jun 14 2023 08:12:37 GMT+0530 (India Standard Time),2,"2,00,05,060",0,0,0,0,0,,,None,None,,,
20.94.129.61,Public IP,,Wed Jun 14 2023 08:09:13 GMT+0530 (India Standard Time),2,"44,38,443",0,0,0,0,0,,,None,None,,,
202.56.246.129,Public IP,Tue Jun 18 2024 00:00:00 GMT+0530 (India Standard Time),Wed Jun 14 2023 08:35:35 GMT+0530 (India Standard Time),1,646,0,0,0,0,0,,,None,None,,,
203.101.92.49,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Jun 14 2023 09:13:38 GMT+0530 (India Standard Time),4,"22,443,541,80",0,0,0,0,0,,,None,None,,,
203.145.134.25,Public IP,Tue Jun 25 2024 00:00:00 GMT+0530 (India Standard Time),Wed Jun 14 2023 10:11:44 GMT+0530 (India Standard Time),1,646,0,0,0,0,0,,,None,None,,,
103.219.238.206,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Aug 16 2023 13:09:22 GMT+0530 (India Standard Time),1,443,4,0,1,1,2,TCS Owned Customer managed,,NA,None,,,
115.244.249.126,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Fri Apr 12 2024 20:31:40 GMT+0530 (India Standard Time),1,22,0,0,0,0,0,TCS Owned Internalit managed,,NA,IS-BFSI-US West-Parent,Internal IT Team,"2,23,96,02,22,55,25,72,00,00,00,00,00,000",52:56.5
103.219.238.214,Public IP,Wed Sep 13 2023 00:00:00 GMT+0530 (India Standard Time),Wed Oct 11 2023 05:16:04 GMT+0530 (India Standard Time),0,0,3,0,0,1,2,TCS Owned Customer managed,,NA,None,,,
208.44.114.116,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Oct 11 2023 06:55:17 GMT+0530 (India Standard Time),0,0,1,0,1,0,0,TCS Owned Internalit managed,,NA,None,,,
84.235.90.73,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Oct 11 2023 08:11:57 GMT+0530 (India Standard Time),2,"22,443",4,0,3,0,1,TCS Owned Internalit managed,0,NA,None,,,
45.114.77.67,Public IP,Wed Jun 12 2024 00:00:00 GMT+0530 (India Standard Time),Wed Oct 11 2023 07:21:05 GMT+0530 (India Standard Time),2,"443,80",7,0,1,2,4,TCS Owned Customer managed,,NA,None,,,
103.219.238.216,Public IP,Wed Jul 31 2024 00:00:00 GMT+0530 (India Standard Time),Wed Oct 11 2023 07:38:55 GMT+0530 (India Standard Time),1,22,1,0,0,1,0,TCS Owned Customer managed,,NA,None,,,
10.66.104.20,Private IP,,,0,,0,0,0,0,0,,,None,IS-BTG-Digital Health & Wellness 1-Parent,Internal IT Team,220188,14:56.0
10.53.175.77,Private IP,,Fri Aug 25 2023 16:29:11 GMT+0530 (India Standard Time),1,22,0,0,0,0,0,,,None,IS-Life Sciences NA-Parent,Internal IT Team,1773214,55:41.8
203.200.21.73,Public IP,,Fri Mar 08 2024 15:01:11 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,MBU1-Parent,Internal IT Team,2251528,02:48.4
